id,team1_name,team2_name,winner_name,team1_score,team2_score,bo_format,start_date,tournament_id,slug,round_id,team1_id,team2_id,winner_team_id,loser_team_id,status,bo_type,end_date,stage_id,maps_score,parsed_status,tier,tier_rank,position,team1_last_game_score,team2_last_game_score,game_version,team1_win,team2_win,match_name
119839,Parivision,Lynn Vision,Parivision,2.0,0.0,BO3,2026-05-21 12:30:00+00:00,4208,parivision-vs-lynn-vision-21-05-2026,36699.0,8171.0,476.0,8171.0,476.0,finished,3,2026-05-21 14:34:16+00:00,9935.0,"[True, True, False]",done,s,1,4.0,,,2.0,True,False,parivision-vs-lynn-vision
119831,Tyloo,Pain Gaming,Pain Gaming,1.0,2.0,BO3,2026-05-21 12:50:00+00:00,4208,tyloo-cs-go-vs-pain-gaming-21-05-2026,36694.0,757.0,637.0,637.0,757.0,finished,3,2026-05-21 15:23:06+00:00,9934.0,"[True, False, True]",done,s,1,4.0,,,2.0,False,True,tyloo-cs-go-vs-pain-gaming
119841,Mibr,B8,B8,1.0,2.0,BO3,2026-05-22 03:00:00+00:00,4208,mibr-vs-b8-22-05-2026,36700.0,1539.0,755.0,755.0,1539.0,finished,3,2026-05-22 05:21:53+00:00,9935.0,"[True, False, True]",done,s,1,6.0,,,2.0,False,True,mibr-vs-b8
119833,Falcons Esports,Legacy Br,Falcons Esports,2.0,0.0,BO3,2026-05-22 03:00:00+00:00,4208,falcons-esports-vs-legacy-br-22-05-2026,36695.0,2713.0,8118.0,2713.0,8118.0,finished,3,2026-05-22 04:42:25+00:00,9934.0,"[True, True, False]",done,s,1,6.0,,,2.0,True,False,falcons-esports-vs-legacy-br
119834,Mousesports,Pain Gaming,Mousesports,2.0,0.0,BO3,2026-05-22 05:15:00+00:00,4208,mousesports-vs-pain-gaming-22-05-2026,36696.0,765.0,637.0,765.0,637.0,finished,3,2026-05-22 06:56:22+00:00,9934.0,"[True, True, False]",done,s,1,1.0,,,2.0,True,False,mousesports-vs-pain-gaming
119842,The Mongolz,Parivision,The Mongolz,2.0,0.0,BO3,2026-05-22 05:55:00+00:00,4208,the-mongolz-vs-parivision-22-05-2026,36701.0,736.0,8171.0,736.0,8171.0,finished,3,2026-05-22 07:42:41+00:00,9935.0,"[True, True, False]",done,s,1,1.0,,,2.0,True,False,the-mongolz-vs-parivision
119844,B8,Mousesports,Mousesports,0.0,2.0,BO3,2026-05-22 08:45:00+00:00,4208,b8-vs-mousesports-22-05-2026,36871.0,1539.0,765.0,765.0,1539.0,finished,3,2026-05-22 11:26:07+00:00,9936.0,"[True, True, False]",done,s,1,3.0,,,2.0,False,True,b8-vs-mousesports
119843,Legacy Br,The Mongolz,Legacy Br,2.0,1.0,BO3,2026-05-22 09:10:00+00:00,4208,legacy-br-vs-the-mongolz-22-05-2026,36871.0,8118.0,736.0,8118.0,736.0,finished,3,2026-05-22 12:09:33+00:00,9936.0,"[True, False, True]",done,s,1,5.0,,,2.0,True,False,legacy-br-vs-the-mongolz
119845,Falcons Esports,Mousesports,Falcons Esports,2.0,1.0,BO3,2026-05-23 05:00:00+00:00,4208,falcons-esports-vs-mousesports-23-05-2026,36703.0,2713.0,765.0,2713.0,765.0,finished,3,2026-05-23 07:50:44+00:00,9936.0,"[False, True, True]",done,s,1,2.0,,,2.0,True,False,falcons-esports-vs-mousesports
119846,Mibr,Legacy Br,Legacy Br,0.0,2.0,BO3,2026-05-23 09:25:00+00:00,4208,mibr-vs-legacy-br-23-05-2026,36703.0,755.0,8118.0,8118.0,755.0,finished,3,2026-05-23 11:15:08+00:00,9936.0,"[True, True, False]",done,s,1,4.0,,,2.0,False,True,mibr-vs-legacy-br
119847,Mousesports,Mibr,Mousesports,2.0,0.0,BO3,2026-05-24 03:00:00+00:00,4208,mousesports-vs-mibr-24-05-2026,36867.0,765.0,755.0,765.0,755.0,finished,3,2026-05-24 04:16:52+00:00,9971.0,"[True, True, False]",done,s,1,6.0,,,2.0,True,False,mousesports-vs-mibr
119848,Falcons Esports,Legacy Br,Legacy Br,1.0,3.0,BO5,2026-05-24 06:15:00+00:00,4208,falcons-esports-vs-legacy-br-24-05-2026,36705.0,2713.0,8118.0,8118.0,2713.0,finished,5,2026-05-24 10:19:46+00:00,9936.0,"[False, True, True, True, False]",done,s,1,1.0,,,2.0,False,True,falcons-esports-vs-legacy-br
119491,Pain Gaming,Faze,Pain Gaming,2.0,0.0,BO3,2026-05-11 15:30:00+00:00,5108,pain-gaming-vs-faze-11-05-2026,36595.0,637.0,791.0,637.0,791.0,finished,3,2026-05-11 17:21:02.489000+00:00,9911.0,"[True, True, False]",done,s,1,3.0,13.0,8.0,2.0,True,False,pain-gaming-vs-faze
119490,B8,Betboom Team,Betboom Team,1.0,2.0,BO3,2026-05-11 15:30:00+00:00,5108,b8-vs-betboom-team-11-05-2026,36595.0,1539.0,7498.0,7498.0,1539.0,finished,3,2026-05-11 18:21:35+00:00,9911.0,"[False, True, True]",done,s,1,2.0,4.0,8.0,2.0,False,True,b8-vs-betboom-team
119488,Vitality,Bc Game,Vitality,2.0,0.0,BO3,2026-05-11 18:00:00+00:00,5108,vitality-vs-bc-game-11-05-2026,36595.0,667.0,10844.0,667.0,10844.0,finished,3,2026-05-11 19:51:53.529000+00:00,9911.0,"[True, True, False]",done,s,1,1.0,13.0,10.0,2.0,True,False,vitality-vs-bc-game
119489,Nrg,Fut Cs2,Fut Cs2,0.0,2.0,BO3,2026-05-11 18:35:00+00:00,5108,nrg-vs-fut-cs2-11-05-2026,36595.0,751.0,20832.0,20832.0,751.0,finished,3,2026-05-11 20:46:10.140000+00:00,9911.0,"[True, True, False]",done,s,1,4.0,9.0,13.0,2.0,False,True,nrg-vs-fut-cs2
119494,Natus Vincere,Passion Ua,Natus Vincere,2.0,0.0,BO3,2026-05-11 20:30:00+00:00,5108,natus-vincere-vs-passion-ua-11-05-2026,36596.0,787.0,7631.0,787.0,7631.0,finished,3,2026-05-11 22:28:34.288000+00:00,9912.0,"[True, True, False]",done,s,1,3.0,12.0,4.0,2.0,True,False,natus-vincere-vs-passion-ua
119493,Sinners,Gamerlegion,Gamerlegion,0.0,2.0,BO3,2026-05-11 21:10:00+00:00,5108,sinners-vs-gamerlegion-11-05-2026,36596.0,200.0,594.0,594.0,200.0,finished,3,2026-05-12 00:10:33.862000+00:00,9912.0,"[False, True, True]",done,s,1,4.0,8.0,13.0,2.0,False,True,sinners-vs-gamerlegion
119495,Liquid,Astralis,Astralis,0.0,2.0,BO3,2026-05-11 23:00:00+00:00,5108,liquid-vs-astralis-11-05-2026,36596.0,790.0,794.0,794.0,790.0,finished,3,2026-05-12 00:40:05.901000+00:00,9912.0,"[True, True, False]",done,s,1,7.0,11.0,13.0,2.0,False,True,liquid-vs-astralis
119492,Legacy Br,M80,Legacy Br,2.0,0.0,BO3,2026-05-12 00:30:00+00:00,5108,legacy-br-vs-m80-cs-go-12-05-2026,36596.0,8118.0,7430.0,8118.0,7430.0,finished,3,2026-05-12 02:07:28.069000+00:00,9912.0,"[True, True, False]",done,s,1,6.0,13.0,7.0,2.0,True,False,legacy-br-vs-m80-cs-go
119554,Faze,Nrg,Faze,2.0,0.0,BO3,2026-05-12 15:30:00+00:00,5108,faze-vs-nrg-12-05-2026,36608.0,791.0,751.0,791.0,751.0,finished,3,2026-05-12 17:11:20.169000+00:00,9911.0,"[True, True, False]",done,s,1,2.0,12.0,11.0,2.0,True,False,faze-vs-nrg
119552,B8,Bc Game,Bc Game,0.0,2.0,BO3,2026-05-12 15:30:00+00:00,5108,b8-vs-bc-game-12-05-2026,36608.0,10844.0,1539.0,1539.0,10844.0,finished,3,2026-05-12 17:09:16.360000+00:00,9911.0,"[True, True, False]",done,s,1,1.0,11.0,13.0,2.0,False,True,b8-vs-bc-game
119553,Betboom Team,Vitality,Vitality,1.0,2.0,BO3,2026-05-12 18:00:00+00:00,5108,betboom-team-vs-vitality-12-05-2026,36609.0,667.0,7498.0,7498.0,667.0,finished,3,2026-05-12 20:51:28.973000+00:00,9911.0,"[True, False, True]",done,s,1,1.0,8.0,13.0,2.0,False,True,betboom-team-vs-vitality
119555,Pain Gaming,Fut Cs2,Pain Gaming,2.0,1.0,BO3,2026-05-12 18:00:00+00:00,5108,pain-gaming-vs-fut-cs2-12-05-2026,36609.0,637.0,20832.0,637.0,20832.0,finished,3,2026-05-12 21:49:36.298000+00:00,9911.0,"[True, False, True]",done,s,1,2.0,13.0,11.0,2.0,True,False,pain-gaming-vs-fut-cs2
119561,Natus Vincere,Gamerlegion,Natus Vincere,2.0,1.0,BO3,2026-05-12 21:10:00+00:00,5108,natus-vincere-vs-gamerlegion-12-05-2026,36614.0,787.0,594.0,787.0,594.0,finished,3,2026-05-12 23:42:18.096000+00:00,9912.0,"[True, False, True]",done,s,1,1.0,12.0,11.0,2.0,True,False,natus-vincere-vs-gamerlegion
119560,Passion Ua,Sinners,Sinners,1.0,2.0,BO3,2026-05-12 22:10:00+00:00,5108,passion-ua-vs-sinners-12-05-2026,36613.0,7631.0,200.0,200.0,7631.0,finished,3,2026-05-13 01:01:09.215000+00:00,9912.0,"[False, True, True]",done,s,1,1.0,8.0,13.0,2.0,False,True,passion-ua-vs-sinners
119563,Astralis,Legacy Br,Astralis,2.0,0.0,BO3,2026-05-13 00:00:00+00:00,5108,astralis-vs-legacy-br-13-05-2026,36614.0,8118.0,794.0,8118.0,794.0,finished,3,2026-05-13 01:38:25.338000+00:00,9912.0,"[True, True, False]",done,s,1,2.0,13.0,6.0,2.0,True,False,astralis-vs-legacy-br
119562,Liquid,M80,M80,1.0,2.0,BO3,2026-05-13 01:15:00+00:00,5108,liquid-vs-m80-cs-go-13-05-2026,36613.0,7430.0,790.0,790.0,7430.0,finished,3,2026-05-13 03:54:11.199000+00:00,9912.0,"[False, True, True]",done,s,1,2.0,5.0,13.0,2.0,False,True,liquid-vs-m80-cs-go
119556,Faze,Vitality,Vitality,0.0,2.0,BO3,2026-05-13 15:30:00+00:00,5108,faze-vs-vitality-13-05-2026,36610.0,791.0,667.0,667.0,791.0,finished,3,2026-05-13 17:36:42.575000+00:00,9911.0,"[True, True, False]",done,s,1,2.0,5.0,13.0,2.0,False,True,faze-vs-vitality
119557,B8,Fut Cs2,B8,2.0,0.0,BO3,2026-05-13 15:30:00+00:00,5108,b8-vs-fut-cs2-13-05-2026,36610.0,1539.0,20832.0,1539.0,20832.0,finished,3,2026-05-13 17:24:20.440000+00:00,9911.0,"[True, True, False]",done,s,1,1.0,13.0,11.0,2.0,True,False,b8-vs-fut-cs2
119564,Gamerlegion,Liquid,Gamerlegion,2.0,0.0,BO3,2026-05-13 18:00:00+00:00,5108,gamerlegion-vs-liquid-13-05-2026,36615.0,594.0,790.0,594.0,790.0,finished,3,2026-05-13 19:45:53.448000+00:00,9912.0,"[True, True, False]",done,s,1,2.0,13.0,6.0,2.0,True,False,gamerlegion-vs-liquid
119565,Sinners,Astralis,Sinners,2.0,0.0,BO3,2026-05-13 18:00:00+00:00,5108,sinners-vs-astralis-13-05-2026,36615.0,794.0,200.0,794.0,200.0,finished,3,2026-05-13 19:56:14.232000+00:00,9912.0,"[True, True, False]",done,s,1,1.0,13.0,8.0,2.0,True,False,sinners-vs-astralis
119559,Betboom Team,Pain Gaming,Betboom Team,2.0,1.0,BO3,2026-05-13 20:30:00+00:00,5108,betboom-team-vs-pain-gaming-13-05-2026,36612.0,7498.0,637.0,7498.0,637.0,finished,3,2026-05-13 23:23:35.935000+00:00,9911.0,"[True, False, True]",done,s,1,1.0,13.0,5.0,2.0,True,False,betboom-team-vs-pain-gaming
119558,B8,Vitality,Vitality,0.0,2.0,BO3,2026-05-13 20:35:00+00:00,5108,b8-vs-vitality-13-05-2026,36611.0,1539.0,667.0,667.0,1539.0,finished,3,2026-05-13 22:15:32.868000+00:00,9911.0,"[True, True, False]",done,s,1,2.0,8.0,13.0,2.0,False,True,b8-vs-vitality
119566,Gamerlegion,Astralis,Astralis,0.0,2.0,BO3,2026-05-13 23:00:00+00:00,5108,gamerlegion-vs-astralis-13-05-2026,36616.0,794.0,594.0,594.0,794.0,finished,3,2026-05-14 00:35:07.646000+00:00,9912.0,"[True, True, False]",done,s,1,2.0,8.0,13.0,2.0,False,True,gamerlegion-vs-astralis
119567,Natus Vincere,Legacy Br,Legacy Br,1.0,2.0,BO3,2026-05-13 23:40:00+00:00,5108,natus-vincere-vs-legacy-br-13-05-2026,36617.0,787.0,8118.0,8118.0,787.0,finished,3,2026-05-14 02:26:55.647000+00:00,9912.0,"[True, False, True]",done,s,1,1.0,6.0,13.0,2.0,False,True,natus-vincere-vs-legacy-br
119568,Pain Gaming,Gamerlegion,Gamerlegion,1.0,2.0,BO3,2026-05-15 17:15:00+00:00,5108,pain-gaming-vs-gamerlegion-15-05-2026,36618.0,637.0,594.0,594.0,637.0,finished,3,2026-05-15 20:27:48+00:00,9914.0,"[False, True, True]",done,s,1,2.0,8.0,13.0,2.0,False,True,pain-gaming-vs-gamerlegion
119569,Natus Vincere,Vitality,Natus Vincere,2.0,1.0,BO3,2026-05-15 21:30:00+00:00,5108,natus-vincere-vs-vitality-15-05-2026,36618.0,787.0,667.0,787.0,667.0,finished,3,2026-05-16 00:39:01.667000+00:00,9914.0,"[False, True, True]",done,s,1,1.0,12.0,3.0,2.0,True,False,natus-vincere-vs-vitality
